capture,gt,read,raw_read,match,failure_stage,all_failed_stages,notes
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085400_739.png,"17,020",17020,17020,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085431_378.png,"11,520",11520,11520,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085433_364.png,"5,000",,,0,2,"2,8",no icon bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085435_190.png,"26,000",2000,,0,6,"6,8",segmenter n_digits=4 != GT 5
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085436_978.png,"21,200",21200,21200,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085439_860.png,"17,200",17200,17200,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085442_451.png,"11,520",11520,11520,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085446_617.png,"17,080",17080,17080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085448_751.png,"15,420",15420,15420,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085450_938.png,"10,620",10620,10620,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085454_645.png,"7,080",7080,7080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085542_764.png,"7,080",7080,7080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085544_711.png,"10,620",10620,10620,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085547_465.png,"7,080",7080,7080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085548_866.png,"15,420",15420,15420,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085551_350.png,"17,080",17080,17080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085556_378.png,"11,520",11520,11520,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085559_623.png,"17,200",17080,,0,2,"2,8",no icon bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085602_078.png,"21,200",21200,21200,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085606_983.png,"26,000",26000,26000,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085608_870.png,"26,000",26000,26000,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085613_234.png,"17,020",17020,17020,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085619_138.png,"8,276",28216,,0,5,"5,8",detector comma_cx=87.0 disagrees with both blob-midpt(77.0) and uniform(57.36363636363636); min_err=10.0 via blob > tol 6
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085622_040.png,"15,360",6000,,0,2,"2,5,6,8",no icon bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085625_608.png,"7,710",7710,7710,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085628_228.png,"8,274",,,0,2,"2,10",no icon bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085631_294.png,"7,710",7710,7710,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085633_341.png,"11,520",11520,11520,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085636_541.png,"11,520",11520,11520,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085639_354.png,"10,620",10620,10620,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085641_536.png,"7,080",7080,7080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085643_453.png,"17,200",17080,,0,2,"2,8",no icon bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085646_305.png,"21,350",3170,,0,2,"2,5,6,8",no icon bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085649_075.png,"17,080",17080,17080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085651_179.png,"21,350",3370,,0,2,"2,5,6,8",no icon bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085654_018.png,"11,565",21565,11584,0,8,8,composed='11584' != GT '11565' (not in lexicon)
