capture,gt,read,raw_read,match,failure_stage,all_failed_stages,notes
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085400_739.png,"17,020",,77020,0,8,8,composed='77020' != GT '17020' (not in lexicon)
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085431_378.png,"11,520",,77809,0,8,8,composed='778?0' != GT '11520' (not in lexicon)
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085433_364.png,"5,000",,,0,2,"2,5,6,8",no icon bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085435_190.png,"26,000",,,0,6,"6,8",segmenter n_digits=4 != GT 5
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085436_978.png,"21,200",,31304,0,8,8,composed='31304' != GT '21200' (not in lexicon)
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085439_860.png,"17,200",,77440,0,8,8,composed='77?50' != GT '17200' (not in lexicon)
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085442_451.png,"11,520",,1489,0,8,8,composed='155?0' != GT '11520' (not in lexicon)
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085446_617.png,"17,080",8000,,0,5,"5,6,8",detector comma_cx=63.0 disagrees with both blob-midpt(None) and uniform(69.92592592592592); min_err=6.9 via uniform > tol 6
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085448_751.png,"15,420",8426,,0,6,"6,8",segmenter n_digits=4 != GT 5
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085450_938.png,"10,620",16620,47587,0,8,8,composed='500?0' != GT '10620' (not in lexicon)
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085454_645.png,"7,080",,6004,0,8,8,composed='7004' != GT '7080' (not in lexicon)
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085542_764.png,"7,080",7080,7080,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085544_711.png,"10,620",10671,,0,6,"6,8",segmenter n_digits=4 != GT 5
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085547_465.png,"7,080",,6004,0,8,8,composed='7004' != GT '7080' (not in lexicon)
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085548_866.png,"15,420",1642,6779,0,8,8,composed='06489' != GT '15420' (not in lexicon)
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085551_350.png,"17,080",,77081,0,8,8,composed='77081' != GT '17080' (not in lexicon)
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085556_378.png,"11,520",4620,,0,5,"5,6,8",detector comma_cx=75.0 disagrees with both blob-midpt(None) and uniform(63.14814814814815); min_err=11.9 via uniform > tol 6
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085559_623.png,"17,200",17200,17200,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085602_078.png,"21,200",,,0,6,"6,8",segmenter n_digits=4 != GT 5
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085606_983.png,"26,000",9800,,0,5,"5,6,8,9",detector comma_cx=12.0 disagrees with both blob-midpt(None) and uniform(58.00000000000001); min_err=46.0 via uniform > tol 6
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085608_870.png,"26,000",26001,,0,6,"6,8",segmenter n_digits=4 != GT 5
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085613_234.png,"17,020",,75041,0,8,8,composed='770?1' != GT '17020' (not in lexicon)
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085619_138.png,"8,276",28216,,0,5,"5,8",detector comma_cx=87.0 disagrees with both blob-midpt(77.0) and uniform(57.36363636363636); min_err=10.0 via blob > tol 6
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085622_040.png,"15,360",6000,,0,2,"2,5,6,8",no icon bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085625_608.png,"7,710",7710,7710,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085628_228.png,"8,274",6275,,0,1,"1,2,5,6,8",no pill bbox returned
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085631_294.png,"7,710",,7616,0,8,8,composed='7916' != GT '7710' (not in lexicon)
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085633_341.png,"11,520",11520,11520,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085636_541.png,"11,520",11520,11520,1,0,,ok
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085639_354.png,"10,620",,60070,0,8,8,composed='60070' != GT '10620' (not in lexicon)
C:\Users\_user\Documents\sc_ocr_engine\training_data_panels\user_20260418_081525\region2\cap_20260418_085641_536.png,"7,080",7080,7080,1,0,,ok
