path,label,field,source_capture,review_status
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155705_329__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155705_329.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155705_329__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155705_329.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155705_329__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155705_329.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155707_070__3384.png,3384,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155707_070.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155707_070__1.png,1,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155707_070.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155707_070__1p43.png,1.43,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155707_070.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155710_185__0.png,0,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155710_185.png,approved
training_data_hud_crops/resistance/user_20260418_154408__cap_20260418_155710_185__0.png,0,resistance,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155710_185.png,approved
training_data_hud_crops/instability/user_20260418_154408__cap_20260418_155710_185__0.png,0,instability,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155710_185.png,approved
training_data_hud_crops/mass/user_20260418_154408__cap_20260418_155715_919__3736.png,3736,mass,C:/Users/_user/AppData/Roaming/ShipBit/WingmanAI/custom_skills/SC_Toolbox_Beta_V1.2/tools/Mining_Signals/training_data_panels/user_20260418_154408/region1/cap_20260418_155715_919.png,approved
