path,true_char,cnn_read,correct,field,position,panel
3\cap_20260418_155707_070__mass__p0__cnn-3__ok.png,3,3,True,mass,0,cap_20260418_155707_070.png
3\cap_20260418_155707_070__mass__p1__cnn-3__ok.png,3,3,True,mass,1,cap_20260418_155707_070.png
8\cap_20260418_155707_070__mass__p2__cnn-8__ok.png,8,8,True,mass,2,cap_20260418_155707_070.png
4\cap_20260418_155707_070__mass__p3__cnn-4__ok.png,4,4,True,mass,3,cap_20260418_155707_070.png
1\cap_20260418_155707_070__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_155707_070.png
pct\cap_20260418_155707_070__resistance__p1__cnn-pct__ok.png,%,%,True,resistance,1,cap_20260418_155707_070.png
1\cap_20260418_155707_070__instability__p0__cnn-1__ok.png,1,1,True,instability,0,cap_20260418_155707_070.png
dot\cap_20260418_155707_070__instability__p1__cnn-dot__ok.png,.,.,True,instability,1,cap_20260418_155707_070.png
4\cap_20260418_155707_070__instability__p2__cnn-4__ok.png,4,4,True,instability,2,cap_20260418_155707_070.png
3\cap_20260418_155707_070__instability__p3__cnn-3__ok.png,3,3,True,instability,3,cap_20260418_155707_070.png
3\cap_20260418_155715_919__mass__p0__cnn-3__ok.png,3,3,True,mass,0,cap_20260418_155715_919.png
7\cap_20260418_155715_919__mass__p1__cnn-7__ok.png,7,7,True,mass,1,cap_20260418_155715_919.png
3\cap_20260418_155715_919__mass__p2__cnn-3__ok.png,3,3,True,mass,2,cap_20260418_155715_919.png
6\cap_20260418_155715_919__mass__p3__cnn-6__ok.png,6,6,True,mass,3,cap_20260418_155715_919.png
0\cap_20260418_155715_919__instability__p0__cnn-0__ok.png,0,0,True,instability,0,cap_20260418_155715_919.png
dot\cap_20260418_155715_919__instability__p1__cnn-dot__ok.png,.,.,True,instability,1,cap_20260418_155715_919.png
9\cap_20260418_155715_919__instability__p2__cnn-9__ok.png,9,9,True,instability,2,cap_20260418_155715_919.png
9\cap_20260418_155715_919__instability__p3__cnn-9__ok.png,9,9,True,instability,3,cap_20260418_155715_919.png
1\cap_20260418_155725_424__mass__p0__cnn-1__ok.png,1,1,True,mass,0,cap_20260418_155725_424.png
0\cap_20260418_155725_424__mass__p1__cnn-0__ok.png,0,0,True,mass,1,cap_20260418_155725_424.png
4\cap_20260418_155725_424__mass__p2__cnn-4__ok.png,4,4,True,mass,2,cap_20260418_155725_424.png
8\cap_20260418_155725_424__mass__p3__cnn-8__ok.png,8,8,True,mass,3,cap_20260418_155725_424.png
6\cap_20260418_155725_424__mass__p4__cnn-6__ok.png,6,6,True,mass,4,cap_20260418_155725_424.png
1\cap_20260418_155725_424__resistance__p0__cnn-1__ok.png,1,1,True,resistance,0,cap_20260418_155725_424.png
